ID,Title,Dietary Tags,Key Ingredients,Asian,Latin American,Mediterranean,American,Sweet,Photo type,Kid Friendly,Healthy-Greens,Healthy-Light,Healthy-Carbs,Healthy-Colorful,Indulgent,Adventurousness,VALUE PERCEPTION,COST
MEAT008,"Skirt Steak with Kimchi Fried Rice, Fried Egg and Roast Brussel Sprouts","Nut-Free, Dairy-Free, Spicy","steak, egg, fried rice, brussel sprouts",10,0,0,0,1,bad,Medium,7,2,2,8,6,7,High,7.13
MEAT070,"Seared Bavette Steak with Mojo Verde, Paprika Potatoes and Watercress-Manchego Salad",Gluten Free,"steak, potatoes, watercress",0,7,7,3,1,good,Low,7,5,4,9,7,7,High,8.85
MEAT072,"Greek Style Marinated Tri Tip Steak with Tzatziki Sauce, Black Olive/Oregano Roasted Potatoes, Sauteed Kale","Gluten Free, Nut Free","steak, potatoes, kale",0,0,10,0,1,good,Low,8,6,4,9,3,5,Medium,5.47
MEAT073,"Skirt Steak Fajitas with made to order guacamole, pico de gallo, rice & beans ",Nut-free,"steak, guacamole, rice, beans",0,10,0,3,1,good,High,8,4,2,8,5,4,High,8.26
MEAT074,"Beef Chuck Roast with Egg Noodles, Gravy, Roasted Vegetables and a Frisee and Watercress Salad with Blue Cheese",,"beef, noodles, vegetables, cheese",0,0,0,10,1,good,High,7,6,6,8,6,2,High,9.22
MEAT075,Spiced Petite Tender Steak with Potato Hash and Arugula Salad with Buttermilk-Blue Cheese Dressing ,"Nut Free, Gluten-Free","steak, potato hash, arugula salad",0,0,0,10,0,good,Medium,5,3,5,5,8,1,Medium,5.20
LAMB076,"Lamb Chops with mint salsa verde, roasted cauliflower and cucumber olive salad","Nut-free, ","lamb chops, mint salsa verde, roasted cauliflower, cucumber olive salad",0,2,9,0,0,good,Low,4,7,8,5,6,6,High,9.05
LAMB077,"Lamb Bolognese w/ Fettucini, Onion, and Mushrooms, Arugula Salad, and White Bean Puree with Bread","Dairy-Free, Nut Free","lamb bolognese w/ fettucini, arugula salad, and white bean puree with bread",0,0,8,0,0,good,High,5,3,2,2,9,2,High,8.58
PORK061,"Pork Shoulder Steak with a Bacon-Fingerling Potato Salad, Brussel Sprouts and Red Wine Glaze","Nut-Free, Gluten-Free","pork shoulder steak, potato salad, brussel spouts",0,0,0,10,0,good,Medium,3,3,5,4,7,2,Medium,4.27
PORK062,Pan Seared Pork Steak with Bacon Braised Red Cabbage and Cranberry Apple Compote,"Nut-Free, Gluten-Free","pork steak, red cabbage, cranberry apple compote",0,0,0,10,8,good,Medium,1,3,4,5,7,3,Medium,4.10
PORK065,"Fennel Brined Pork Chop with Sauteed Garlic Rapini with Pine Nuts, Pear Mostarda and Orecchiette in Fontina Parmesan Cream Sauce",,"pork chop, rapini, orecchiette",0,0,0,10,3,good,Medium,4,3,3,5,9,2,Medium,4.28
PORK067,"pork chop, guajillo agave glaze, onion, lime and cilantro relish, radish& arugula salad, refried beans and rice","nut-free, gluten-free, ","pork chop, arugula salad, refried beans and rice",0,10,0,0,0,good,Medium,4,2,5,7,8,4,Low,3.31
PORK068,"Pork Osso Buco with Caper-Raisin Sauce and Rosemary Pine Nut Gremolata, Creamy Polenta and Baby Romaine and Citrus Salad",Gluten-Free,"pork ossobuco, creamy polenta, baby romaine citrus salad",0,0,10,0,0,good,Low,4,1,3,3,10,4,High,6.71
CHIX050,"Chicken Tacos Al Pastor with Radish-Lime Slaw, Three Bean-Avocado salad","Nut-Free, Gluten-Free, Spicy","chicken tacos, slaw, bean-avocado salad",0,10,0,0,0,good,High,1,6,7,6,7,4,Medium,4.02
CHIX058,"Chicken “Paella” with Piquillo Peppers, Corn and Peas, Baby Spinach Salad",Gluten-Free,"chicken paella, corn and peas, spinach salad",0,0,10,0,2,good,Low,3,3,5,6,8,3,High,6.18
CHIX060,Chicken Teriyaki with Edamame Fried Brown Rice and Marinated Cucumbers,"Nut-Free, Gluten-Free, Dairy-Free","chicken teriyaki, fried rice, marinated cucumbers",10,0,0,0,0,good,Medium,2,3,5,3,5,4,Medium,5.11
CHIX067,"Seared Skinless Chicken Parmesan with Marinara, Mozzarella, Broccolini and Rosemary-Garlic Roasted Red Bliss Potatoes","Gluten-Free, Nut-Free","chicken parmesan, broccolini, roasted potatoes",0,0,0,10,0,good,High,4,3,3,3,9,1,Medium,5.29
CHIX068,"Crispy Panko Chicken Breast with Egg Fried Rice, Tonkatsu Sauce and Asian Cabbage Slaw","Dairy-Free, Nut-Free","crispy chicken breast, egg fried rice, cabbage slaw",10,0,0,0,0,good,Medium,1,3,3,5,8,7,Medium,4.11
CHIX070,"Thai Marinated Chicken Tacos with Peanut Sauce and Sauteed Vegetables, Cabbage Slaw, and Thai Fried Rice","Dairy-Free, Gluten-Free, Contains Shellfish(fish sauce)","chicken tacos, sauteed vegetables, slaw, fried rice",10,4,0,0,3,good,Low,2,5,5,8,7,5,Medium,4.16
CHIX072,"Pan Roasted Chicken with Sage and Cranberry Relish, Pear and Cornbread Stuffing and Brussels Sprouts with Butternut Squash",,"chicken, cornbread stuffing, brussel sprouts and butternut squash",0,0,0,10,5,good,Medium,4,4,4,4,9,1,Low,3.06
WHFI041,"Striped Bass with Leek Vinaigrette, Cauliflower and Mushroom Barley, Red Mustard Greens w/ Bocconcini and Citrus",Nut-Free,"bass, leek, cauliflower, mushroom, barley, red mustard,",0,0,0,10,2,good,Low,2,7,8,3,3,7,Medium,5.36
WHFI042,"Moroccan Seared Grouper with Zucchini, Chickpea Tagine, Preserved Lemon and Mint Couscous ",Nut-Free,"grouper, zuchinni, chickpea, tagine, lemon, couscous",0,4,10,2,0,good,Low,6,6,7,7,3,8,Medium,4.92
WHFI045,"Cornmeal Crusted Mahi Mahi with Paprika Peewee Potatoes, Tomatillo Salsa and Black Bean-Corn Ragout","Gluten-Free, Nut-Free","mahi, potatoes, tomatillo, corn, blackbean",0,8,0,7,1,good,Medium,5,3,4,3,4,5,Medium,4.56
WHFI046,"Brioche Crusted Tilefish with Creole Remoulade, Black Eyed Pea-Tasso Ham Ragout and Celery Root Slaw","Nut-free, Spicy","Tilefish, remoulade, peas, ham, slaw",0,2,0,10,1,good,Medium,4,2,3,5,6,5,High,7.38
WHFI047,"Miso Marinated Cod with Yuzu-Pepper Vinaigrette, Kabocha Squash Puree, Baby Bok Choy and White Rice","Dairy-Free, Gluten Free, Nut-Free","miso, cod, yuzu, kabocha, baby bok choy, rice",10,0,0,0,2,good,Low,7,8,7,,6,6,Low,3.97
WHFI049,"Seared Black Sea Bass with Edamame Puree and Ponzu, Udon Noodles with Spinach, Onion, and Ginger","Dairy-Free, Nut Free","bass, edamame, ponzu, udon, spinach",10,0,0,0,1,good,Low,10,10,8,10,6,,High,6.39
WHFI052,"Black Fish with Celery Root Puree, Truffled Asparagus with Parmesan, and Frisee and Arugula Salad with Apples, Fennel, and Hazelnuts",Gluten-Free,"blackfish,celery,truffle,asparagus,parmesan,arugula, apples",0,0,7,10,1,good,Low,9,9,9,9,9,9,Medium,5.24
WHFI055,"Barramundi with Carrot Top Pesto, Roasted Baby Carrots, and Farro Salad with Carrots, Kohlrabi, Beets and Herbed Buttermilk Dressing",,"barramundi,carrot,farro,buttermilk,beets",0,0,7,9,1,good,Low,8,8,10,10,5,7,High,7.29
SLAM042,Seared Salmon with Quinoa-Beet Salad and Caper Fines Herbes Sauce,"Gluten-Free, Dairy-Free","salmon, quinoa, beet, caper",0,2,7,5,1,good,Low,5,8,9,5,3,3,High,6.66
SLAM044,"Sesame Crusted Salmon with Baby Bok Choy and Hon Shimeji Mushrooms, Ginger Scallion Cauliflower Salad","Nut-Free (contains seeds), Dairy-Free, Gluten free (soy is a gluten free product http://www.littlesoya.com","salmon, baby bok choy, mushrooms, cauliflower",10,0,0,0,1,good,Low,7,8,9,6,6,5,Medium,4.92
SLAM046,"Ancho and Lime Glazed Salmon with Mexican Rice, Avocado and Watercress Salad","Gluten Free, Nut Free, ","salmon, avocado, rice,watercress",0,10,0,2,1,good,Low,7,6,6,7,6,7,Medium,4.92
SLAM048,"Salmon Au Poivre with Sauteed Spinach, Crispy Garlic Fingerling Potatoes and Blackberry Glaze","Gluten-Free, Nut Free","salmon, spinach, potato, garlic, blackberry",0,0,5,10,0,good,Medium,6,6,7,7,6,7,Medium,5.20
SLAM049,"Miso Marinated Salmon with Yuzu-Pepper Vinaigrette, Pumpkin Puree, Baby Bok Choy and Japanese Rice","Dairy-Free, Nut Free(Contains Seeds)","salmon, miso, pumpkin, baby bok choy, rice",10,0,0,0,4,good,Low,6,5,6,8,7,9,Medium,4.10
SLAM050,"Seared Salmon with Basil-Caper Relish, Arugula Salad, Freekeh with Delicata Squash, Pine nuts and Ricotta Cheese",,"salmon, arugula, basil, freekeh, squash, ricotta",0,0,8,0,2,good,Low,9,9,9,9,9,7,Low,3.99
SLAM051,"Applewood Smoked Salmon with Cauliflower Puree, Porcini Scented Roasted Vegetables and Arugula Salad","Gluten-Free, Nut-Free, Dairy-Free","salmon, cauliflower, roast veg, arugula",0,0,6,10,3,good,Low,8,9,9,9,9,6,High,6.36
VEG028,Roasted Vegetable and Coconut Curry with Eggplant Quinoa and Wilted Kale Sprouts,"Vegetarian, Nut-Free, Gluten-Free, dairy-free","vegetables, coconut, eggplant, quinoa, kale",10,0,0,0,2,good,Medium,10,8,8,9,2,3,Medium,4.73
VEG029,Edamame Falafel Burger with Spiced Sweet Potato Fries and Russian Kale salad,"Vegetarian, Nut-Free","edamame, sweet potato, kale",7,0,0,7,2,good,High,6,5,4,6,3,5,Medium,4.57
VEG031,"Seared Autumn Vegetables with Curried Carrot Lentils, Warm Halloumi Cheese with Chard and Cilantro-Jasmine Rice","Vegetarian, Gluten-Free","vegetables, carrot, lentils, halloumi, cheese, rice",7,0,3,0,1,good,Low,8,6,6,9,4,6,Medium,4.25
VEG032,"Seared Tofu with Bok Choy and Mushrooms, Mizuna-Seaweed Salad and White Rice","Vegan, Gluten-Free, Dairy-Free, Nut-Free","tofu, bok choy, mushrooms, seaweed, rice",10,0,0,0,1,good,Medium,10,9,5,8,2,7,Medium,4.79
VEG033,"Portobello Mushroom Grilled Cheese with Gruyere and Brie, Creamy Mushroom Soup and Sweet Potato-Arugula Salad",Nut Free,"mushroom, grilled cheese, soup, sweet potato",0,0,2,10,2,good,High,6,3,3,5,9,2,High,7.53
VEG035,"Ratatouille with Roasted Baby Eggplant and Stewed Vegetables in Tomato, Brown Rice and Chickpea Salad","Dairy-Free, Gluten-Free, Nut Free","eggplant, brown rice, chickpea salad",0,0,7,7,1,good,Low,4,8,6,8,3,2,Low,3.08
VEG036,"Chipotle Potato Tacos with Nopales and Tomatillo Salsa, Jicama-Cabbage Slaw, and Refried Beans with Cotija Cheese","Gluten-Free, Nut-Free(contains seeds)","potatoes, tacos, beans, cheese",0,10,0,0,1,good,High,8,7,4,8,3,6,Low,1.36
